model,resp_id,orig_idx,mean_surprisal,n_ans,gap,jsd_noctx,chunk_drops,chunk_jsds,label,doc_id,summ_model
tofueval_Qwen2.5-0.5B-Instruct,32,32,1.1929850578308105,69,2.4380764961242676,0.2805931568145752,"[-0.012696062502600134, 0.004613441588277794, -0.015684757454858998, -0.014380004894506335, 2.352408140540069]","[0.0015869907938131423, 0.00136682761353768, 0.0003435808787838576, 0.0006329478327564215, 0.27294454906824167]",1,AlamedaCC_04042017_2017-4092,model_B
tofueval_Qwen2.5-0.5B-Instruct,33,33,1.4791765213012695,79,1.1686046123504639,0.17031753063201904,"[-0.02528397705153894, 0.006006902135981409, 0.002376632209568096, -0.0038411935690615055, 1.1227594715030274]","[0.0015737233174857902, 0.001598428671073473, 0.0004868804077161741, 0.0008336456452226126, 0.15056469148029336]",1,AlamedaCC_04042017_2017-4092,model_C
tofueval_Qwen2.5-0.5B-Instruct,34,34,0.7799416184425354,78,3.1367440223693848,0.37253397703170776,"[-0.0006129481431600699, 0.012662213543022424, -0.011402674150595442, 0.005796591461766627, 2.786016307878666]","[0.0024808770573984543, 0.001098977535250994, 0.0004420187092335208, 0.00038183368819306616, 0.3553215092456995]",1,AlamedaCC_04042017_2017-4092,model_D
tofueval_Qwen2.5-0.5B-Instruct,35,35,1.837540626525879,39,2.6718530654907227,0.32596081495285034,"[-0.028914724868790913, 0.012118566190623917, 0.011915414521167688, -0.008368310218196338, 2.0296191653051676]","[0.003155703420979523, 0.0017221867314779398, 0.0007915878662130965, 0.0016415626957426027, 0.2763855680756163]",1,AlamedaCC_04042017_2017-4092,model_E
tofueval_Qwen2.5-0.5B-Instruct,36,36,2.652778148651123,54,0.6946099400520325,0.18496635556221008,"[-0.07525356958528089, 0.015791797738293773, -0.03200720315167187, -0.02209706521218188, 0.7065083772228078]","[0.004513782535822328, 0.007182528523268654, 0.003945261481240542, 0.012015995552027798, 0.1735458391483378]",1,AlamedaCC_07162019_2019-6992,Model-Extra
tofueval_Qwen2.5-0.5B-Instruct,37,37,2.147336959838867,45,0.23291116952896118,0.1041845828294754,"[-0.05725037539676931, -0.05533139071291468, -0.010927978371586908, 0.019640301747050316, 0.3906292018456346]","[0.0036760609974913275, 0.005009969543789339, 0.004230273385777157, 0.006855689308859938, 0.08933212606688257]",1,AlamedaCC_07162019_2019-6992,model_A
tofueval_Qwen2.5-0.5B-Instruct,38,38,2.0274808406829834,38,0.31281405687332153,0.10849517583847046,"[-0.017202593597558963, -0.003726988135416545, -0.00037336335519380794, 0.052717713737174085, 0.30129102098908334]","[0.004628885554044054, 0.006367571959584127, 0.0057144945327117485, 0.0056396277867813635, 0.08197846132004902]",1,AlamedaCC_07162019_2019-6992,model_B
tofueval_Qwen2.5-0.5B-Instruct,39,39,1.850994348526001,82,-0.20874428749084473,0.06560806185007095,"[-0.03642578658513585, -0.0337363908668566, -0.0021518256931569073, -0.011495185811970548, 0.011450749796794541]","[0.0014341691208290108, 0.003032932698183353, 0.0016839940805805493, 0.004781827272159806, 0.04007230588674092]",1,AlamedaCC_07162019_2019-6992,model_C
tofueval_Qwen2.5-0.5B-Instruct,40,40,2.5697779655456543,17,0.36303550004959106,0.10173328965902328,"[-0.004589518125559313, -0.03844495426806936, 0.05896689187091611, -0.018935241033913745, -0.1724425861145445]","[0.0014283856076765327, 0.002831125800345463, 0.0033580092725274237, 0.004532526886310627, 0.061860168836146305]",0,AlamedaCC_07162019_2019-6992,model_D
tofueval_Qwen2.5-0.5B-Instruct,41,41,0.6757120490074158,129,2.4752049446105957,0.3595612347126007,"[0.23990323899924848, 1.9674217313437437, -0.029096855857559174, -0.02286338149270853, -0.07043908679977819]","[0.033070062139312434, 0.2629422901750084, 0.0027931225590905324, 0.0020044030733709127, 0.01949841915489947]",0,AlamedaCC_07162019_2019-6992,model_E
tofueval_Qwen2.5-0.5B-Instruct,42,42,3.1829581260681152,55,0.5942229628562927,0.14530427753925323,"[0.0032350354743274777, 0.01669868747703731, -0.007936834924939004, -0.01174376808445562, 0.49200157508762044]","[0.0015383511225412472, 0.0027302096743369473, 0.004076532976746834, 0.01568688764481604, 0.1389120710962743]",1,AlamedaCC_07162019_2019-6992,Model-Extra
tofueval_Qwen2.5-0.5B-Instruct,43,43,1.5807437896728516,126,1.8281456232070923,0.26788049936294556,"[0.07821632571701936, 1.1027664697279298, -0.03343918015682917, 0.18547702769494265, 0.04150009653237667]","[0.019718453325078864, 0.1445939358252778, 0.008688368448877064, 0.027909072534424605, 0.03465672256841153]",1,AlamedaCC_07162019_2019-6992,model_A
tofueval_Qwen2.5-0.5B-Instruct,44,44,1.6925334930419922,64,0.021735727787017822,0.06485945731401443,"[-0.031077656953129917, 0.03821158240316436, -0.020261187077267095, -0.03271208440128248, -0.06857176976336632]","[0.001224094744578963, 0.0017712331575978624, 0.0022999635386913297, 0.0019399582231898194, 0.03714437068197185]",1,AlamedaCC_07162019_2019-6992,model_B
tofueval_Qwen2.5-0.5B-Instruct,45,45,2.135209798812866,31,1.3610873222351074,0.2243967354297638,"[0.20443331825381686, -0.1368172124831847, 0.02536400616724765, -0.046410887727453824, -0.1468184423828197]","[0.008370422833840782, 0.021775289071170375, 0.0058861269576629, 0.005058474582674242, 0.08173712021544494]",1,AlamedaCC_07162019_2019-6992,model_C
tofueval_Qwen2.5-0.5B-Instruct,46,46,1.9849436283111572,47,0.32285356521606445,0.09245894104242325,"[-0.03393786317331994, 0.02465409900438278, -0.02949499291308383, -0.05511972284380426, 0.0286577692691316]","[0.0021963204948057882, 0.0021542005346070273, 0.0027062119689288283, 0.0030153606346194715, 0.05790735718836275]",1,AlamedaCC_07162019_2019-6992,model_D
tofueval_Qwen2.5-0.5B-Instruct,47,47,1.808172583580017,56,-0.00266519607976079,0.06352756172418594,"[-0.01291937370686875, 0.0171919919843536, -0.0031692876177008395, -0.02437061251839623, -0.0692079851375768]","[0.0006104100666643067, 0.0015759717056523317, 0.0014597788457665825, 0.0012013688605634343, 0.013644988822501805]",1,AlamedaCC_07162019_2019-6992,model_E
tofueval_Qwen2.5-0.5B-Instruct,48,48,3.3570339679718018,50,0.6797205209732056,0.12522479891777039,"[-0.058967075417749586, -0.013650776869617402, -0.014098600125871599, -0.008469976531341673, 0.4174486066587269]","[0.002720133939947118, 0.0036288013029115974, 0.0026160918086679886, 0.0038743006655931824, 0.09672888193919789]",1,AlamedaCC_07162019_2019-6992,Model-Extra
tofueval_Qwen2.5-0.5B-Instruct,49,49,2.2859582901000977,44,-0.17268024384975433,0.07825915515422821,"[-0.013361593200401827, -0.004441573199900714, -0.011645013297146017, -0.010075720027089119, -0.17513199760155243]","[0.0013306053551787045, 0.002601718420464749, 0.0018329400207386987, 0.0020527732685257597, 0.04005386628506875]",1,AlamedaCC_07162019_2019-6992,model_A
tofueval_Qwen2.5-0.5B-Instruct,50,50,2.2650721073150635,48,1.7681175470352173,0.23807956278324127,"[-0.05827258892046908, 0.05270751123316586, 0.02786205941811204, 0.01861671102233231, 1.538337386989345]","[0.002657351577151227, 0.001802608427586468, 0.0017974307596280898, 0.0036614176877568148, 0.24057510442798957]",1,AlamedaCC_07162019_2019-6992,model_B
tofueval_Qwen2.5-0.5B-Instruct,51,51,2.1977710723876953,64,-0.3319794535636902,0.06941897422075272,"[-0.03555763675831258, 0.005871853209100664, -0.03489768487634137, -0.02344068099046126, -0.30803405662300065]","[0.0009574577248372407, 0.0014864957587406025, 0.0017180215454573045, 0.0019148227062260048, 0.04104655380888289]",1,AlamedaCC_07162019_2019-6992,model_C
tofueval_Qwen2.5-0.5B-Instruct,52,52,2.104036331176758,68,1.3865225315093994,0.2358725517988205,"[0.06993264476188736, 0.21533364586607337, -0.003329494944356317, 0.04696897470175292, 0.4103929044457907]","[0.018860900137918392, 0.05464411096524119, 0.006433430190387459, 0.005260248546599488, 0.10534236040262064]",0,AlamedaCC_07162019_2019-6992,model_D
