model,resp_id,orig_idx,domain,mean_surprisal,n_ans,gap,jsd_noctx,chunk_drops,chunk_jsds,label
ragbench_Qwen2.5-0.5B-Instruct,37,37,pubmedqa,1.1037694215774536,51,0.4735166132450104,0.10091771185398102,"[0.2621357132375481, 0.022439667996628023, 0.0025824183816189807, 0.0230252330954553]","[0.062215450932822644, 0.006616912202417222, 0.005528630879682311, 0.007700438828381347]",1
ragbench_Qwen2.5-0.5B-Instruct,38,38,finqa,1.1944310665130615,34,0.4229888617992401,0.11702603101730347,"[0.004344630602752338, 0.5336481510337976, 0.03036760272388004, 0.0846521818136406, 0.07626432507822756]","[0.005470082007778889, 0.08946816410688745, 0.005166949221648685, 0.003625378330445314, 0.005269871000564308]",1
ragbench_Qwen2.5-0.5B-Instruct,39,39,pubmedqa,0.9323036670684814,200,0.9958229064941406,0.18115344643592834,"[0.4675094159646687, 0.24027599023771473, 0.1821238319329177, 0.030326482888490318, -3.58175669771299e-05]","[0.09641874287220162, 0.04414879978858721, 0.02920118865090444, 0.007295657992447531, 0.0027769111048019115]",1
ragbench_Qwen2.5-0.5B-Instruct,40,40,finqa,0.8101039528846741,147,0.313141793012619,0.09270711988210678,"[-0.015057754369916772, -0.015999920690347256, 0.3090764756298395, 0.00950268663462116, 0.001642466946317914]","[0.0023321164252359835, 0.0038271553423992, 0.06153041305242987, 0.002404936560523942, 0.002439023646021543]",1
ragbench_Qwen2.5-0.5B-Instruct,41,41,hotpotqa,1.0788006782531738,63,1.0203723907470703,0.17973855137825012,"[-0.06435920099810906, 0.054145677558269184, 0.9730887310223706, -0.07280210430814357]","[0.01028554895178389, 0.06275868989656457, 0.12606875001688062, 0.00954346213265151]",1
ragbench_Qwen2.5-0.5B-Instruct,42,42,pubmedqa,1.3556535243988037,200,0.5975927114486694,0.12072519212961197,"[0.39936381120467557, 0.25155119724031805, -0.014047478306680431, -0.022016067393707317]","[0.06946670410374736, 0.032598882681993756, 0.00458688429780711, 0.003778056303821131]",1
ragbench_Qwen2.5-0.5B-Instruct,43,43,pubmedqa,0.9134286642074585,103,0.4416752755641937,0.09513097256422043,"[0.2894523416687008, -0.011097531848348614, 0.2545285183017397, 0.0027588544524193813, 0.0174722689681906]","[0.04630055553973395, 0.006760128266406185, 0.033062526940725395, 0.006450071582685434, 0.006174374320962273]",1
ragbench_Qwen2.5-0.5B-Instruct,44,44,pubmedqa,0.7699012160301208,143,0.6781608462333679,0.10892020910978317,"[0.38322524260576907, 0.07823707474703538, 0.280284215299311, 0.018810484805669204, 0.02947350212610224]","[0.04614903095030989, 0.018866081813292034, 0.045384459817326146, 0.006447198012946106, 0.005280663192482433]",1
ragbench_Qwen2.5-0.5B-Instruct,45,45,pubmedqa,1.0250327587127686,200,1.757896065711975,0.26906511187553406,"[0.1099000792650918, 0.4645929428569332, 0.6838820336068409, 0.3086323899900526, -0.04383773523129435]","[0.02368766986209309, 0.06703178276455816, 0.10451061570262901, 0.05938854878976429, 0.00527939465575777]",1
ragbench_Qwen2.5-0.5B-Instruct,46,46,pubmedqa,1.1422306299209595,73,0.9384441375732422,0.15906621515750885,"[0.23625576615188337, 0.3684021889351006, -0.011604464269062378, 0.11307317772696802, 0.01471217683201633]","[0.04357639654260189, 0.040153622202134934, 0.01847130964332081, 0.01564553886821271, 0.0034178842205984153]",1
ragbench_Qwen2.5-0.5B-Instruct,47,47,finqa,0.6044968366622925,200,0.16560404002666473,0.04625607654452324,"[0.08703055392169973, 0.07303998526666078, -0.0005204112127034577, -0.004602621297508413]","[0.02346482902326521, 0.021878256048903637, 0.0023695421723036246, 0.0007987065512028835]",1
ragbench_Qwen2.5-0.5B-Instruct,48,48,pubmedqa,0.4859431982040405,200,1.085626244544983,0.14713183045387268,"[-0.0510671496697546, 1.0626326840636398, 0.001422324588839956, -0.029306370622031182, -0.03360545196624003]","[0.009300506921280842, 0.1315044759397483, 0.00351465925832116, 0.004074140603317602, 0.004982539943648589]",1
ragbench_Qwen2.5-0.5B-Instruct,49,49,pubmedqa,0.6607382297515869,200,0.7817273139953613,0.15170975029468536,"[0.22967597696985848, 0.42926335231200935, 0.10276052906018492, -0.01705286352509347, -0.0017091407365819578]","[0.04376955530251177, 0.08111944172448105, 0.013505908975736105, 0.007464678747009969, 0.00218114301753495]",1
ragbench_Qwen2.5-0.5B-Instruct,50,50,covidqa,2.096465826034546,36,0.1065274253487587,0.0806947648525238,[0.07581591755256846],[0.07733525816206566],1
